Id,event_url,event_name,event_date,event_location,event_gender,logo_url,event_website,event_type,player_age_range,created_by,created_datetime
11,https://www.connectlax.com/event/albany_rpi_shootout,Albany RPI Shootout,Jul 19-21 '19,"Troy, NY",Men's 8-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-679-22815.jpg,https://aplc.albanypowerlacrosse.com/summershootout,Tournament,8 - 18,spider,20190308
12,https://www.connectlax.com/event/blue_ox_invitational_womens,Blue OX Invitational Womens,Jun 22-23 '19,"Stillwater, MN",Women's 13-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-3109-43677.jpg,http://www.uslaxevents.com/,Tournament,13 - 18,spider,20190308
13,https://www.connectlax.com/event/blue_ox_invitational_mens,Blue OX Invitational Mens,Jun 22-23 '19,"Stillwater, MN",Men's 13-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-3108-43676.jpg,http://www.uslaxevents.com/,Tournament,13 - 18,spider,20190308
14,https://www.connectlax.com/event/big4_summer_champions_league_2019,Big4 Summer Champions League,Jun 14-16 '19,"Pottstown, PA",Men's 13-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-3297-43900.jpg,http://big4lax.com/,Tournament,13 - 18,spider,20190308
15,https://www.connectlax.com/event/bigeasyclassic_2019,Big Easy Classic,Jun 15-16 '19,"Mandeville, LA",Men's 8-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-3052-43566.jpg,http://victoryeventseries.com/big-easy-classic/,Tournament,8 - 18,spider,20190308
16,https://www.connectlax.com/event/best_of_philly_spring_lacrosse_league_-_april,Best of Philly Spring Lacrosse League - April,Apr 28 '19,"Aston, PA",Women's 13-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-2836-43458.jpg,https://www.ultimateeventsandsports.com/events/categories/lacrosse/,League,13 - 18,spider,20190308
17,https://www.connectlax.com/event/beat_the_heat_girls,Beat the Heat Girls,May 25-26 '19,"Milton, GA",Women's 13-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-3214-43837.jpg,https://laxusa.com/beat-the-heat/,Tournament,13 - 18,spider,20190308
18,https://www.connectlax.com/event/beat_the_heat_boys,Beat the Heat Boys,May 25-26 '19,"Milton, GA",Men's 13-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-3213-43838.jpg,https://laxusa.com/beat-the-heat/,Tournament,13 - 18,spider,20190308
19,https://www.connectlax.com/event/baltimore_summer_kickoff_session_ii_2019,Baltimore Summer Kickoff Session II,Jun 15-16 '19,"Brooklandville, MD",Men's 13-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb--28253.jpg,http://baltimoresummerkickoff.com/,Tournament,13 - 18,spider,20190308
20,https://www.connectlax.com/event/baltimore_summer_kickoff_session_iii_2019,Baltimore Summer Kickoff Session III,Jun 20-21 '19,"Brooklandville, MD",Men's 13-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb--28253.jpg,http://baltimoresummerkickoff.com/,Tournament,13 - 18,spider,20190308
21,https://www.connectlax.com/event/bulldog_brawl_2019,Bulldog Brawl,Jun 22-23 '19,"Smithfield, RI",Men's 8-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-3236-43785.jpg,https://primetimelacrosse.com/event/bulldog-brawl/,Tournament,8 - 18,spider,20190308
22,https://www.connectlax.com/event/brine_summer_getaway,Brine Summer Getaway,Jun 22-23 '19,"Poolesville, MD",Men's 8-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-3328-43914.jpg,http://www.alohatournaments.com,Tournament,8 - 18,spider,20190308
23,https://www.connectlax.com/event/brine_salt_lax_city_boys,Brine Salt Lax City Boys,Jun 13-14 '19,"Salt Lake City, UT",Men's 13-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-3329-43941.jpg,http://www.alohatournaments.com,Tournament,13 - 18,spider,20190308
24,https://www.connectlax.com/event/chicago-lacrosse-cup_2019,Chicago Lacrosse Cup,Jun 17-19 '19,"Vernon Hills, IL",Men's 13-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-993-20692.jpg,https://chicagolacrossecup.com/,Tournament,13 - 18,spider,20190308
25,https://www.connectlax.com/event/carolina_fever_lax_for_the_cure_summer_tournament,Carolina Fever Lax for the Cure Summer Tournament,Jun 21-23 '19,"Moorestown, NJ",Co-ed's 13-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb--16093.jpg,http://www.feverlax.com/Summer-schedule/,Tournament,13 - 18,spider,20190308
26,https://www.connectlax.com/event/boys_summer_kickoff,Boys Summer Kickoff,Jun 1-2 '19,"Conshohocken, PA",Men's 13-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-305-4675.jpg,http://www.mesalacrosse.com/mesa-summer-kickoff.html,Tournament,13 - 18,spider,20190308
27,https://www.connectlax.com/event/capital-classic-lacrosse-tournament_2018_1,Capital Classic Lacrosse Tournament,Jun 29-30 '19,"Poolesville, MD",Men's 13-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-3091-43640.jpg,http://www.madlaxevents.com/capitalclassic,Tournament,13 - 18,spider,20190308
28,https://www.connectlax.com/event/boyssummerslam_2019,Boys Summer Slam,Jun 22-23 '19,"West Chester, PA",Men's 8-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-3054-43567.jpg,http://victoryeventseries.com/boys-summer-slam/,Tournament,8 - 18,spider,20190308
29,https://www.connectlax.com/event/brine_salt_lax_city_girls,Brine Salt Lax City Girls,Jun 13-14 '19,"Salt Lake City, UT",Women's 13-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-3330-43940.jpg,http://www.alohatournaments.com,Tournament,13 - 18,spider,20190308
