tournament_endpoint,tournament_division_id,tournament_id,tournament_name,time_period,Location,tournament_division_name,last_update,game_date,game_id,game_time,location_name,away_team_id,away_team,away_score,home_score,home_team
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h201811040209515332637acf927764a,h201811040209515605719c136ca5548,h201811040209515332637acf927764a,October Slugfest,"Oct 19 - 20, 2019","Montoursville, PA • Williamsport, PA",16U,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h201811040209515332637acf927764a,h201811040209515570e50249677eb49,h201811040209515332637acf927764a,October Slugfest,"Oct 19 - 20, 2019","Montoursville, PA • Williamsport, PA",15U,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h201811040209515332637acf927764a,h20181104020951554828927ca68cf4e,h201811040209515332637acf927764a,October Slugfest,"Oct 19 - 20, 2019","Montoursville, PA • Williamsport, PA",14U,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h2019010819301855103a2ec4506b24d,h20190110181458110d8eaeed3d67d4a,h2019010819301855103a2ec4506b24d,2019 National Fall Lax Festival,"Nov 2 - 3, 2019",,2028 Division,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h201812021936126559406041508cd4b,h201812021936126733f19bc2507b941,h201812021936126559406041508cd4b,Oyster Bay Fall Brawl,"Nov 9, 2019","East Norwich, NY • Oyster Bay, NY",2025,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h201812021936126559406041508cd4b,h2018120219361268707210305a0e944,h201812021936126559406041508cd4b,Oyster Bay Fall Brawl,"Nov 9, 2019","East Norwich, NY • Oyster Bay, NY",2026,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h201812021936126559406041508cd4b,h2018120219361267003d71d43e50745,h201812021936126559406041508cd4b,Oyster Bay Fall Brawl,"Nov 9, 2019","East Norwich, NY • Oyster Bay, NY",2027,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h201812021936126559406041508cd4b,h20181202193612680f7718ae2a6df49,h201812021936126559406041508cd4b,Oyster Bay Fall Brawl,"Nov 9, 2019","East Norwich, NY • Oyster Bay, NY",2029,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h201812021936126559406041508cd4b,h201812021936126832d1a4208dd784a,h201812021936126559406041508cd4b,Oyster Bay Fall Brawl,"Nov 9, 2019","East Norwich, NY • Oyster Bay, NY",2028,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20190215211748437a5744bdcbf0e42,h20190215211748461a1189583b8b645,h20190215211748437a5744bdcbf0e42,Bash 4 Cash,"Nov 9 - 10, 2019","Antelope, CA",Coed,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h2018120216093644067fb9cf7854644,h20181202160936455f0e93a8ec20f40,h2018120216093644067fb9cf7854644,Fall Bay Bash,"Nov 3, 2019","East Norwich, NY • Oyster Bay, NY",2024,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h201812021936126559406041508cd4b,h20181202193612678a024f958f5c34b,h201812021936126559406041508cd4b,Oyster Bay Fall Brawl,"Nov 9, 2019","East Norwich, NY • Oyster Bay, NY",2024,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20190215211748437a5744bdcbf0e42,h20190215211748465f0eecc54510c4e,h20190215211748437a5744bdcbf0e42,Bash 4 Cash,"Nov 9 - 10, 2019","Antelope, CA",Women's,,,,,,,,,,
