tournament_endpoint,tournament_division_id,tournament_id,tournament_name,time_period,Location,tournament_division_name,last_update,game_date,game_id,game_time,location_name,away_team_id,away_team,away_score,home_score,home_team
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h2018120516181398899fae8005f6944,h2018120517041277672721b2976d043,h2018120516181398899fae8005f6944,T3 High School Winter League,"Jan 5 - Feb 23, 2019","Branchburg, NJ",White,Sat 2/23/2019 10:12 PM,"Saturday, January 05, 2019",P7,8:30 PM,Branchburg Sports Complex,h201812051711332331c139cde463d48,Bridgewater White,12,11,Lata/North Hunterdon
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20190212044619226588955e76d5f4d,h20190220200303928836c9b45f60c4a,h20190212044619226588955e76d5f4d,Legends Best of the West,"Feb 22 - 24, 2019","Henderson, NV",MAMBA Boys 14U,Sun 2/24/2019 1:59 PM,"Friday, February 22, 2019",P1,5:00 PM,Heritage Park - 10,h20190220200303951dc4b52ba2d5040,Henderson Wrangles,1,11,True Utah 2023 State
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20190212044619226588955e76d5f4d,h201902202000097690d0390c9ae4a48,h20190212044619226588955e76d5f4d,Legends Best of the West,"Feb 22 - 24, 2019","Henderson, NV",Relax Boys Varsity,Sun 2/24/2019 12:55 PM,"Friday, February 22, 2019",P1,6:00 PM,Heritage Park - 2,h20190220200009849ae1ca9fea9e442,Santa Fe Prep,4,7,Fremont Varsity
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20190123233155816a53b1d2e1b2645,h201901232339372173e054192a9834a,h20190123233155816a53b1d2e1b2645,Goodland Invitational,"Feb 23 - 24, 2019","Brookfield, WI",Pee Wee,Sun 2/24/2019 1:50 PM,"Saturday, February 23, 2019",P2,9:30 AM,Brookfield Indoor Soccer Complex - Field 3,h20190123234153117bca0a8a44b6142,True IN,11,5,Illinois
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20190212044619226588955e76d5f4d,h201902201959325290eb0c0e54a7745,h20190212044619226588955e76d5f4d,Legends Best of the West,"Feb 22 - 24, 2019","Henderson, NV",Legends Boys Varsity,Sun 2/24/2019 1:52 PM,"Friday, February 22, 2019",P1,7:00 PM,Heritage Park - 12,h20190220195932571fc5fa8b004f64e,Herriman Mustangs Varsity,3,8,Claremont Spartans
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20190123233155816a53b1d2e1b2645,h20190123233937226227c392c221043,h20190123233155816a53b1d2e1b2645,Goodland Invitational,"Feb 23 - 24, 2019","Brookfield, WI",Midget B,Sun 2/24/2019 11:51 AM,"Saturday, February 23, 2019",P1,8:30 AM,Brookfield Indoor Soccer Complex - Field 3,h201901232344405868e2ede92c33b49,MN Midget Green,4,8,True IN
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20190123233155816a53b1d2e1b2645,h2019012418485276148a2735528c941,h20190123233155816a53b1d2e1b2645,Goodland Invitational,"Feb 23 - 24, 2019","Brookfield, WI",Midget A,Sun 2/24/2019 10:55 AM,"Saturday, February 23, 2019",P1,8:30 AM,Brookfield Indoor Soccer Complex - Field 1,h201901232344406170575c5aba23c49,Mighty Ducks,16,2,Frogs Blue
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h201902220231147827f2a314cb30b4e,h20190222023747323a0a81b085efc4c,h201902220231147827f2a314cb30b4e,Legacy Lacrosse Box Tourney,"Feb 23, 2019","Bridgewater, MA",4th Grade Division,Sat 2/23/2019 1:10 PM,"Saturday, February 23, 2019",P4,11:00 AM,Bridgewater Sports Complex - Field 3,h20190222023859231f000b42fcae043,Laxachusetts Green,3,9,Laxachusetts White
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20190212044619226588955e76d5f4d,h20190220200330474ba21219ceaf747,h20190212044619226588955e76d5f4d,Legends Best of the West,"Feb 22 - 24, 2019","Henderson, NV",Knights Boys 12U,Sun 2/24/2019 1:15 PM,"Friday, February 22, 2019",P1,5:00 PM,Heritage Park - 2,h2019022020033048259cdeaa60cdd4a,Patriots 12U,6,7,Oneida LC 2025
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h201902220231147827f2a314cb30b4e,h201902220238207373e29b66744844f,h201902220231147827f2a314cb30b4e,Legacy Lacrosse Box Tourney,"Feb 23, 2019","Bridgewater, MA",7th/8th Grade Division,Sat 2/23/2019 3:03 PM,"Saturday, February 23, 2019",P4,9:40 AM,Bridgewater Sports Complex - Field 2,h20190222025128626f1535b922f1549,3d New England,5,4,Express North
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h2018120516181398899fae8005f6944,h2018120517044945691ff29f1638a4c,h2018120516181398899fae8005f6944,T3 High School Winter League,"Jan 5 - Feb 23, 2019","Branchburg, NJ",Red,Sat 2/23/2019 10:13 PM,"Saturday, January 05, 2019",P1,8:50 PM,Branchburg Sports Complex,h20181205171000031a1335254fbf843,Central 2021 Black,11,12,North 2021 Blue
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20190212044619226588955e76d5f4d,h20190220200357332644118154f914b,h20190212044619226588955e76d5f4d,Legends Best of the West,"Feb 22 - 24, 2019","Henderson, NV",Gulls Girls Varsity,Sun 2/24/2019 12:11 PM,"Friday, February 22, 2019",P1,6:00 PM,Heritage Park - 6,h201902202003573777dbc6c9911ed4a,Riverton Varsity,5,11,American Fork HS Girls Lacrosse
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20190212044619226588955e76d5f4d,h201902202001502840a2b135e8b6241,h20190212044619226588955e76d5f4d,Legends Best of the West,"Feb 22 - 24, 2019","Henderson, NV",Seals Boys JV,Yesterday 9:52 AM,"Friday, February 22, 2019",P1,9:00 AM,Heritage Park - 10,h20190220200150392c9a7717ddb3a4f,Palo Verde JV,6,11,NDSS ISLANDERS
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20190219014737252be49b239da8b41,h20190219015615755e28d7bd140c448,h20190219014737252be49b239da8b41,TRUE PA Girls Midnight Madness,"Feb 23 - 24, 2019","cheswick, PA",Division 1,Sun 2/24/2019 12:25 AM,"Saturday, February 23, 2019",P0,8:00 PM,Pittsburgh indoor sports arena - Field 2,h2019021902560584128928f5e651e4c,Franklin Regional,7,6,Fox Chapel
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20190212044619226588955e76d5f4d,h201902202004263874446ddf6419141,h20190212044619226588955e76d5f4d,Legends Best of the West,"Feb 22 - 24, 2019","Henderson, NV",Capitals Girls JV,Sun 2/24/2019 1:10 PM,"Friday, February 22, 2019",P1,10:00 AM,Heritage Park - 8,h20190220200426421dfb640cca5ca42,Skyline JV,2,11,Lady Bulldogs
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20190219014737252be49b239da8b41,h20190219015615760fecb180a016e40,h20190219014737252be49b239da8b41,TRUE PA Girls Midnight Madness,"Feb 23 - 24, 2019","cheswick, PA",Division 2,Sat 2/23/2019 11:56 PM,"Saturday, February 23, 2019",P0,8:30 PM,Pittsburgh indoor sports arena - Field 1,h2019021901573772045cc7380d8924e,Indiana,5,9,TRUE Open
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h201902220231147827f2a314cb30b4e,h20190222023731308e1e779e08a5541,h201902220231147827f2a314cb30b4e,Legacy Lacrosse Box Tourney,"Feb 23, 2019","Bridgewater, MA",5th/6th Grade Division,Sun 2/24/2019 9:20 AM,"Saturday, February 23, 2019",P5,2:20 PM,Bridgewater Sports Complex - Field 2,h201902220245034494358af299e614f,Eclipse 2,2,12,3d New England
